ReqId,ReqAddr,RefTraceCycle,ReqBusLatency,RespBusLatency,ReplcLatency,LatencyMinusRepl,TotLatency,WcReqLatency,WcRespLatency,WcReplcLatency,WcLatency,WcLatencyMinsRepl,AverageLatency
2,140733183194072,0,8,98,0,106,106,8,98,0,106,106,106
6,140733183194064,0,4,198,0,202,202,8,198,0,202,202,154
10,140733183194056,0,4,198,0,202,202,8,198,0,202,202,170
14,140733183194048,0,4,198,0,202,202,8,198,0,202,202,178
18,140733183194040,0,4,197,0,201,201,8,198,0,202,202,182
22,140733183194032,0,4,198,0,202,202,8,198,0,202,202,185
26,140733183194024,0,4,198,0,202,202,8,198,0,202,202,188
30,140441664757360,0,4,197,0,201,201,8,198,0,202,202,189
34,140441664756888,0,4,196,0,200,200,8,198,0,202,202,190
38,140441664757760,0,4,197,0,201,201,8,198,0,202,202,191
